text,label
"From: no-reply@account-verify-secure.tk
Subject: SECURITY Alert: unusual sign-in attempt
We noticed an unusual sign-in attempt on your account from a new device. If this wasn't you, verify your identity immediately by entering your one-time password and current login credentials here: http://account-verify-secure.tk",1
"From: no-reply@account-verify-secure.tk
Subject: Action required: Verify your payment information!
Your last payment could not be processed. To avoid service interruption, please update your billing information and confirm your credit card number within 24 hours. http://billing-update-now.xyz/pay",1
"From: no-reply@account-verify-secure.tk
Subject: Final notice: RESET your password now!
This is your final notice. For security reasons you must reset your password immediately by clicking the link below and entering your current password and security code: http://reset-password-now.click",1
"From: alerts@amaz0n-security.com
Subject: URGENT: Your account will be suspended!!!
We detected unusual activity on your account. Your account will be suspended within 24 hours unless you verify your identity immediately. Click here to confirm your password and avoid permanent suspension: http://secure-verify-login.tk/confirm",1
"From: support@bankalert-update.info
Subject: Congratulations! You have won a reward
Congratulations! You have been selected to receive a special reward. Claim your prize now by verifying your account details and providing your bank account number before the offer expires today.",1
"From: no-reply@dropbox.com
Subject: Meeting reminder: Team sync at 3pm
Just a reminder that our team sync is scheduled for 3pm today in the usual conference room. Agenda is attached. See you there.",0
"From: alerts@amaz0n-security.com
Subject: Your invoice is overdue - immediate action required
Your invoice is now overdue. Please make a wire transfer or send payment via gift card immediately to avoid additional late fees and legal action. Reply with your bank account number to confirm.",1
"From: security@paypa1-support.com
Subject: Refund department: CLAIM your refund today
You are eligible for a refund. To process your refund today, confirm your bank account number, date of birth, and social security number using the secure form linked below.",1
"From: billing@refund-department.click
Subject: Final notice: reset YOUR password now!!!
This is your final notice. For security reasons you must reset your password immediately by clicking the link below and entering your current password and security code: http://reset-password-now.click",1
"From: team@slack.com
Subject: Your subscription receipt
This confirms your subscription renewal for this month. Your next billing date is noted in your account settings. Thank you for being a subscriber.",0
"From: billing@refund-department.click
Subject: Congratulations! You have won a reward!!
Congratulations! You have been selected to receive a special reward. Claim your prize now by verifying your account details and providing your bank account number before the offer expires today.",1
"From: hr@mycompany.com
Subject: Welcome to the newsletter
Thanks for subscribing! Every week we'll send a short roundup of the most interesting articles from around the web. You can unsubscribe anytime from the footer.",0
"From: no-reply@zoom.us
Subject: Reminder: your appointment tomorrow
This is a friendly reminder about your appointment scheduled for tomorrow. Please arrive a few minutes early. Reply to this email if you need to reschedule.",0
"From: alerts@amaz0n-security.com
Subject: Action required: Verify your payment information!
Your last payment could not be processed. To avoid service interruption, please update your billing information and confirm your credit card number within 24 hours. http://billing-update-now.xyz/pay",1
"From: alerts@amaz0n-security.com
Subject: Congratulations! You have won A reward!!
Congratulations! You have been selected to receive a special reward. Claim your prize now by verifying your account details and providing your bank account number before the offer expires today.",1
"From: helpdesk@it-supportdesk.ml
Subject: Action required: Verify your payment INFORMATION!!
Your last payment could not be processed. To avoid service interruption, please update your billing information and confirm your credit card number within 24 hours. http://billing-update-now.xyz/pay",1
"From: support@bankalert-update.info
Subject: Congratulations! You have won a reward!
Congratulations! You have been selected to receive a special reward. Claim your prize now by verifying your account details and providing your bank account number before the offer expires today.",1
"From: no-reply@zoom.us
Subject: New comment on your document
Someone left a comment on the document you shared. Open the document to view the comment and reply if needed.",0
"From: team@slack.com
Subject: Welcome to the newsletter
Thanks for subscribing! Every week we'll send a short roundup of the most interesting articles from around the web. You can unsubscribe anytime from the footer.",0
"From: billing@refund-department.click
Subject: URGENT: Your account will be SUSPENDED!!!
We detected unusual activity on your account. Your account will be suspended within 24 hours unless you verify your identity immediately. Click here to confirm your password and avoid permanent suspension: http://secure-verify-login.tk/confirm",1
"From: no-reply@zoom.us
Subject: Welcome to the newsletter
Thanks for subscribing! Every week we'll send a short roundup of the most interesting articles from around the web. You can unsubscribe anytime from the footer.",0
"From: notifications@github.com
Subject: Your weekly project summary
Here's a quick recap of what changed in your project this week. Three pull requests were merged and two issues were closed. Have a great week!",0
"From: alerts@amaz0n-security.com
Subject: Congratulations! You have won a REWARD!
Congratulations! You have been selected to receive a special reward. Claim your prize now by verifying your account details and providing your bank account number before the offer expires today.",1
"From: no-reply@zoom.us
Subject: Your monthly statement is ready
Your monthly account statement is now available to view in your online dashboard. No action is needed unless you have questions about a transaction.",0
"From: alerts@amaz0n-security.com
Subject: Security Alert: unusual sign-in attempt
We noticed an unusual sign-in attempt on your account from a new device. If this wasn't you, verify your identity immediately by entering your one-time password and current login credentials here: http://account-verify-secure.tk",1
