text,label
"Meeting moved to conference room B, same time. ",0
WARNING: suspicious activity on your account. Verify immediately or lose access permanently: http://bit.ly/act-now!!,1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
YOUR PACKAGE COULD NOT BE DELIVERED. CONFIRM YOUR ADDRESS AND PAY A SMALL FEE HERE: HTTP://TINYURL.COM/REDELIVER,1
"Your verification code is required to unlock your account, reply with the code sent to your phone.",1
"Thanks for coming to the party last night, it was great seeing you! ",0
"Meeting moved to conference room B, same time. ",0
"See you at the game this weekend, go team! ",0
Practice is moved to 5pm today instead of 4pm.,0
Practice is moved to 5pm today instead of 4pm. ,0
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now",1
ACT NOW! Your account access expires today. Confirm your login credentials: http://bit.ly/confirm-login,1
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now!!,1
Your account will be suspended in 24 hours. Verify your identity immediately: http://bit.ly/verify-now,1
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now!!",1
Your prescription is ready for pickup at the pharmacy. ,0
"Your Uber is arriving in 3 minutes. Driver: John, license plate ABC123. ",0
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
Your electricity will be disconnected today unless you pay now: http://bit.ly/pay-bill-now,1
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee",1
Can we reschedule our call to 3pm instead? ,0
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now",1
The package tracking shows it will arrive Thursday. ,0
URGENT: YOUR BANK ACCOUNT HAS BEEN LOCKED. VERIFY NOW AT HTTP://BIT.LY/SECURE-BANK TO RESTORE ACCESS.,1
YOUR PACKAGE COULD NOT BE DELIVERED. CONFIRM YOUR ADDRESS AND PAY A SMALL FEE HERE: HTTP://TINYURL.COM/REDELIVER,1
URGENT: Your bank account has been locked. Verify now at http://bit.ly/secure-bank to restore access.,1
YOUR PACKAGE COULD NOT BE DELIVERED. CONFIRM YOUR ADDRESS AND PAY A SMALL FEE HERE: HTTP://TINYURL.COM/REDELIVER,1
"See you at the game this weekend, go team!",0
Your flight AA204 is on time and boards at gate 12. ,0
IRS Notice: You have an unclaimed refund. Verify your SSN to receive it: http://bit.ly/irs-refund,1
Reminder: your dentist appointment is tomorrow at 10am. ,0
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
"You've won a free iPhone! Limited time offer, claim now: http://bit.ly/free-iphone-claim",1
"Your card has been charged $499.99. If this wasn't you, verify your password immediately: http://bit.ly/dispute-now",1
Security alert: unusual login detected. Enter your OTP here to secure your account: http://bit.ly/secure-otp,1
FINAL NOTICE: Your subscription payment failed. Update your card details immediately at http://bit.ly/update-pay,1
"Your delivery is on hold, pay a customs fee to release your package: http://tinyurl.com/customs-fee!!",1
"Thanks for coming to the party last night, it was great seeing you!",0
